release_reference_id,release_project_reference,datacenter_reference,tag_device_id,release_reference_type,latitude,longitude,time,expected_enddate,manufacturer,tag_model,tag_serial_number,tag_coding_system,transmitted_id
,,,,,degrees_north,degrees_east,UTC,UTC,,,,,
MACFL-15306,MACFL,nep,A69-1303-30677,ANIMAL,38.581239,-121.507286,2008-12-03T16:05:00Z,2009-02-11T16:05:00Z,VEMCO,V7,1062410,A69-1303,30677
MACFL-15307,MACFL,nep,A69-1303-30679,ANIMAL,38.581239,-121.507286,2008-12-03T17:00:00Z,2009-02-11T17:00:00Z,VEMCO,V7,1062412,A69-1303,30679
MACFL-15308,MACFL,nep,A69-1303-30680,ANIMAL,38.581239,-121.507286,2008-12-03T17:00:00Z,2009-02-11T17:00:00Z,VEMCO,V7,1062413,A69-1303,30680
MACFL-15309,MACFL,nep,A69-1303-30681,ANIMAL,38.581239,-121.507286,2008-12-03T17:00:00Z,2009-02-11T17:00:00Z,VEMCO,V7,1062414,A69-1303,30681
MACFL-15310,MACFL,nep,A69-1303-30682,ANIMAL,38.581239,-121.507286,2008-12-03T17:00:00Z,2009-02-11T17:00:00Z,VEMCO,V7,1062415,A69-1303,30682
MACFL-15311,MACFL,nep,A69-1303-30686,ANIMAL,38.581239,-121.507286,2008-12-03T18:01:00Z,2009-02-11T18:01:00Z,VEMCO,V7,1062419,A69-1303,30686
MACFL-15312,MACFL,nep,A69-1303-30683,ANIMAL,38.581239,-121.507286,2008-12-03T18:01:00Z,2009-02-11T18:01:00Z,VEMCO,V7,1062416,A69-1303,30683
MACFL-15313,MACFL,nep,A69-1303-30684,ANIMAL,38.581239,-121.507286,2008-12-03T18:01:00Z,2009-02-11T18:01:00Z,VEMCO,V7,1062417,A69-1303,30684
MACFL-15314,MACFL,nep,A69-1303-30685,ANIMAL,38.581239,-121.507286,2008-12-03T18:01:00Z,2009-02-11T18:01:00Z,VEMCO,V7,1062418,A69-1303,30685
MACFL-15315,MACFL,nep,A69-1303-30690,ANIMAL,38.581239,-121.507286,2008-12-03T19:00:00Z,2009-02-11T19:00:00Z,VEMCO,V7,1062423,A69-1303,30690
MACFL-15316,MACFL,nep,A69-1303-30689,ANIMAL,38.581239,-121.507286,2008-12-03T19:00:00Z,2009-02-11T19:00:00Z,VEMCO,V7,1062422,A69-1303,30689
MACFL-15317,MACFL,nep,A69-1303-30687,ANIMAL,38.581239,-121.507286,2008-12-03T19:00:00Z,2009-02-11T19:00:00Z,VEMCO,V7,1062420,A69-1303,30687
MACFL-15318,MACFL,nep,A69-1303-30688,ANIMAL,38.581239,-121.507286,2008-12-03T19:00:00Z,2009-02-11T19:00:00Z,VEMCO,V7,1062421,A69-1303,30688
MACFL-15319,MACFL,nep,A69-1303-30691,ANIMAL,38.581239,-121.507286,2008-12-03T20:03:00Z,2009-02-11T20:03:00Z,VEMCO,V7,1062424,A69-1303,30691
MACFL-15320,MACFL,nep,A69-1303-30692,ANIMAL,38.581239,-121.507286,2008-12-03T20:03:00Z,2009-02-11T20:03:00Z,VEMCO,V7,1062425,A69-1303,30692
MACFL-15321,MACFL,nep,A69-1303-30693,ANIMAL,38.581239,-121.507286,2008-12-03T20:03:00Z,2009-02-11T20:03:00Z,VEMCO,V7,1062426,A69-1303,30693
MACFL-15322,MACFL,nep,A69-1303-30694,ANIMAL,38.581239,-121.507286,2008-12-03T20:03:00Z,2009-02-11T20:03:00Z,VEMCO,V7,1062427,A69-1303,30694
MACFL-15323,MACFL,nep,A69-1303-30698,ANIMAL,38.581239,-121.507286,2008-12-03T21:01:00Z,2009-02-11T21:01:00Z,VEMCO,V7,1062431,A69-1303,30698
MACFL-15324,MACFL,nep,A69-1303-30697,ANIMAL,38.581239,-121.507286,2008-12-03T21:01:00Z,2009-02-11T21:01:00Z,VEMCO,V7,1062430,A69-1303,30697
MACFL-15325,MACFL,nep,A69-1303-30696,ANIMAL,38.581239,-121.507286,2008-12-03T21:01:00Z,2009-02-11T21:01:00Z,VEMCO,V7,1062429,A69-1303,30696
MACFL-15326,MACFL,nep,A69-1303-30699,ANIMAL,38.581239,-121.507286,2008-12-03T21:01:00Z,2009-02-11T21:01:00Z,VEMCO,V7,1062432,A69-1303,30699
MACFL-15327,MACFL,nep,A69-1303-30700,ANIMAL,38.581239,-121.507286,2008-12-03T22:00:00Z,2009-02-11T22:00:00Z,VEMCO,V7,1062433,A69-1303,30700
MACFL-15328,MACFL,nep,A69-1303-30702,ANIMAL,38.581239,-121.507286,2008-12-03T22:00:00Z,2009-02-11T22:00:00Z,VEMCO,V7,1062435,A69-1303,30702
