platform_reference_id,platform_project_reference,datacenter_reference,platform_type,platform_depth,platform_name,latitude,longitude
,,,,,,degrees_north,degrees_east
Oakland Marina-002,ALSEA,nep,Underwater mooring,3.7,Oakland Marina-002,44.41315737,-123.9945017
Oakland Marina-003,ALSEA,nep,Underwater mooring,3,Oakland Marina-003,44.41376161,-123.9964463
Taylor Marina-002,ALSEA,nep,Underwater mooring,4.6,Taylor Marina-002,44.40676489,-123.9469063
ALSEA-ABOVE5RIVERS,ALSEA,nep,Underwater mooring,1.5,ALSEA-ABOVE5RIVERS,44.3609694,-123.8285719
ALSEA-FALL CR,ALSEA,nep,Underwater mooring,1.8,ALSEA-FALL CR,44.375655,-123.7307206
ALSEA-HEADOFTIDE,ALSEA,nep,Underwater mooring,6.1,ALSEA-HEADOFTIDE,44.4024836,-123.8951375
ALSEA-JAWS,ALSEA,nep,Underwater mooring,6.1,ALSEA-JAWS,44.4219378,-124.0776739
ALSEA-LOWESTUARY,ALSEA,nep,Underwater mooring,3.4,ALSEA-LOWESTUARY,44.4372769,-124.0615078
ALSEA-MOUTH,ALSEA,nep,Underwater mooring,6.4,ALSEA-MOUTH,44.4219378,-124.0776739
ALSEA-OAKLANDS,ALSEA,nep,Underwater mooring,1.8,ALSEA-OAKLANDS,44.41317,-123.9941878
ALSEA-TAYLORS,ALSEA,nep,Underwater mooring,8.5,ALSEA-TAYLORS,44.4067714,-123.9451122
Head of Tide-001,ALSEA,nep,Underwater mooring,6.1,Head of Tide-001,44.40429287,-123.8928042
Head of Tide-002,ALSEA,nep,Underwater mooring,4.9,Head of Tide-002,44.40351769,-123.8940734
Head of Tide-003,ALSEA,nep,Underwater mooring,3.4,Head of Tide-003,44.4107652,-123.8939085
Five rivers-001,ALSEA,nep,Underwater mooring,1.5,Five rivers-001,44.36096902,-123.828572
Upper Alsea-001,ALSEA,nep,Underwater mooring,1.8,Upper Alsea-001,44.37369792,-123.7283866
S.FK NEHALEM,ALSEA,nep,Underwater mooring,3.7,S.FK NEHALEM,45.7318114,-123.8680878
Taylor Marina-001,ALSEA,nep,Underwater mooring,8.2,Taylor Marina-001,44.40677977,-123.9451124
1,BOOMBARI,nep,Underwater mooring,135.26,1,23.485583,-109.4046
BNDYP,BOOONC,nep,Underwater mooring,228,BNDYP,48.7663,-123.0402
JF2C,BOOONC,nep,Underwater mooring,180,JF2C,48.3607,-124.2128
JFCN,BOOONC,nep,Underwater mooring,231,JFCN,48.5081,-124.74912
AS04,BOOONC,nep,Underwater mooring,118,AS04,48.3005,-123.3914
MAC,BOOONC,nep,Underwater mooring,61,MAC,48.401,-123.4089
AS04-1,BOOONC,nep,Underwater mooring,123,AS04-1,48.30016667,-123.3912
AS04-2,BOOONC,nep,Underwater mooring,119,AS04-2,48.30045,-123.39135
AS04-3,BOOONC,nep,Underwater mooring,120,AS04-3,48.3003167,-123.3912833
AS04-4,BOOONC,nep,Underwater mooring,121,AS04-4,48.300556,-123.390944
AS04-5,BOOONC,nep,Underwater mooring,118,AS04-5,48.30088889,-123.3914444
AS04-6,BOOONC,nep,Underwater mooring,121,AS04-6,48.30095,-123.3909167
AS04-7,BOOONC,nep,Underwater mooring,119,AS04-7,48.3008,-123.3908
AS04-8,BOOONC,nep,Underwater mooring,341,AS04-8,48.3009667,-123.3907333
AS04-9,BOOONC,nep,Underwater mooring,119,AS04-9,48.30061667,-123.3911333
BCH-1,BOOONC,nep,Underwater mooring,408,BCH-1,48.3332,-125.875583
BCH-2,BOOONC,nep,Underwater mooring,415,BCH-2,48.3332,-125.875583
BNDYP-1,BOOONC,nep,Underwater mooring,240,BNDYP-1,48.76593333,-123.0385167
BNDYP-10,BOOONC,nep,Underwater mooring,233,BNDYP-10,48.76633333,-123.03925
BNDYP-2,BOOONC,nep,Underwater mooring,230,BNDYP-2,48.7663,-123.04022
BNDYP-3,BOOONC,nep,Underwater mooring,235,BNDYP-3,48.76653333,-123.0391333
BNDYP-4,BOOONC,nep,Underwater mooring,229,BNDYP-4,48.766366,-123.0392166
BNDYP-5,BOOONC,nep,Underwater mooring,230,BNDYP-5,48.7665,-123.039556
BNDYP-6,BOOONC,nep,Underwater mooring,234,BNDYP-6,48.76622222,-123.0391944
BNDYP-7,BOOONC,nep,Underwater mooring,231,BNDYP-7,48.76641667,-123.0387833
BNDYP-8,BOOONC,nep,Underwater mooring,233,BNDYP-8,48.7666,-123.0379
BNDYP-9,BOOONC,nep,Underwater mooring,237,BNDYP-9,48.7664167,-123.0390833
JF2C-1,BOOONC,nep,Underwater mooring,181,JF2C-1,48.36038333,-124.2133667
